resource_id,captured_on,source_url,capture_class,source_basis,raw_snapshot_cached,raw_fulltext_cached,rights_policy,runtime_fetch,local_card,local_card_sha256,structured_snapshot,verification_note
DB-VIP,2026-08-21,https://www.cqvip.com/,database_workflow_card_indexed,official_public_page,False,False,database_usage_knowledge_no_corpus,live_query_for_current_records_only,03_sources/local_knowledge/external/cards/DB-VIP.md,35317d074e2f37380368d0bb84d064cc2b8694d45e2eafc095ad0b19007c4e61,,Knowledge was converted to a local structured card. Protected full text and subscription content were not copied.
DB-NCPSSD,2026-08-21,https://www.ncpssd.cn/,database_workflow_card_indexed,official_public_page,False,False,official_repository_usage_summary,live_query_for_current_records_only,03_sources/local_knowledge/external/cards/DB-NCPSSD.md,7dd4b6c97f5b300e1bed9e7cb7f8d9910e37e47f569ebadea30d6a208f0ee9a4,,Knowledge was converted to a local structured card. Protected full text and subscription content were not copied.
WRITE-CRAFT-5E,2026-08-21,https://press.uchicago.edu/ucp/books/book/chicago/C/bo215874008.html,public_toc_and_knowledge_map_indexed,official_public_page,False,False,commercial_book_no_fulltext,not_required_for_stable_knowledge,03_sources/local_knowledge/external/cards/WRITE-CRAFT-5E.md,c781b4f881bf7a07e4dc35d99d0e17638062b2026b5f7bce5efbc38bc7bc6cae,,Knowledge was converted to a local structured card. Protected full text and subscription content were not copied.
WRITE-CRESWELL-6E,2026-08-21,https://us2.sagepub.com/en-us/nam/research-design/book270550,public_toc_and_knowledge_map_indexed,official_public_page,False,False,commercial_book_no_fulltext,not_required_for_stable_knowledge,03_sources/local_knowledge/external/cards/WRITE-CRESWELL-6E.md,b388abd02f7ed71c61c1ccc8886554447dc2346c6d10f52e1db342873d6f3530,,Knowledge was converted to a local structured card. Protected full text and subscription content were not copied.
WRITE-SWALES-FEAK,2026-08-21,https://press.umich.edu/Books/A/Academic-Writing-for-Graduate-Students-3rd-Edition2,public_toc_and_knowledge_map_indexed,official_public_page,False,False,commercial_book_no_fulltext,not_required_for_stable_knowledge,03_sources/local_knowledge/external/cards/WRITE-SWALES-FEAK.md,bbfab5665677a7cb344534021bf40cc4e16d93eb1d11180160c91156d630aa40,,Knowledge was converted to a local structured card. Protected full text and subscription content were not copied.
WRITE-APA-JARS,2026-08-21,https://apastyle.apa.org/jars,official_guideline_knowledge_card_indexed,official_public_page,False,False,official_standard_summary,refresh_if_stale_or_submission_specific,03_sources/local_knowledge/external/cards/WRITE-APA-JARS.md,be5a2362e853b97dd4a5960071398528b2ac014b3049ca269f88f22b33718bd6,,Knowledge was converted to a local structured card. Protected full text and subscription content were not copied.
WRITE-MISQ-GUIDE,2026-08-21,https://misq.umn.edu/instructions-for-authors,journal_guideline_knowledge_card_indexed,official_public_page,False,False,official_guideline_summary,refresh_if_stale_or_submission_specific,03_sources/local_knowledge/external/cards/WRITE-MISQ-GUIDE.md,65064f184796c7cf50f10b7ebca613fc358abc01dafa7ce16330cb21be664ec6,,Knowledge was converted to a local structured card. Protected full text and subscription content were not copied.
WRITE-ISR-GUIDE,2026-08-21,https://pubsonline.informs.org/page/isre/submission-guidelines,journal_guideline_knowledge_card_indexed,official_public_page,False,False,official_guideline_summary,refresh_if_stale_or_submission_specific,03_sources/local_knowledge/external/cards/WRITE-ISR-GUIDE.md,ba613e23877522ba41bff9a8526822bdc3aef3ad2dd6c31988baa3511f3000ef,,Knowledge was converted to a local structured card. Protected full text and subscription content were not copied.
WRITE-WEBSTER-WATSON,2026-08-21,https://www.jstor.org/stable/4132319,bibliographic_abstract_and_concept_card_indexed,official_public_page,False,False,article_abstract_and_derived_map,not_required_for_stable_knowledge,03_sources/local_knowledge/external/cards/WRITE-WEBSTER-WATSON.md,aa2c0aeb62818e69f652945400d8aa46697294c96938b8f30d1be05ce449eebc,,Knowledge was converted to a local structured card. Protected full text and subscription content were not copied.
THEORY-GREGOR-2006,2026-08-21,https://aisel.aisnet.org/misq/vol30/iss3/5/,bibliographic_abstract_and_concept_card_indexed,official_public_page,False,False,article_abstract_and_derived_map,not_required_for_stable_knowledge,03_sources/local_knowledge/external/cards/THEORY-GREGOR-2006.md,86e8bc5be3002dd2c906524f360502eccb5f23c57af62731d3dd9e90282fcbb6,,Knowledge was converted to a local structured card. Protected full text and subscription content were not copied.
THEORY-HEVNER-2004,2026-08-21,https://aisel.aisnet.org/misq/vol28/iss1/6/,bibliographic_abstract_and_concept_card_indexed,official_public_page,False,False,article_abstract_and_derived_map,not_required_for_stable_knowledge,03_sources/local_knowledge/external/cards/THEORY-HEVNER-2004.md,e2659b82bf04160f7b4b2f04753c5e687cfa2012d301ed73577a75be3c6e6110,,Knowledge was converted to a local structured card. Protected full text and subscription content were not copied.
THEORY-TAM-1989,2026-08-21,https://doi.org/10.2307/249008,bibliographic_abstract_and_concept_card_indexed,official_public_page,False,False,article_abstract_and_derived_map,not_required_for_stable_knowledge,03_sources/local_knowledge/external/cards/THEORY-TAM-1989.md,c98869f0fef0f9361baaf3ef3fa39944e994515f7e206b4c35db1186d033500d,,Knowledge was converted to a local structured card. Protected full text and subscription content were not copied.
THEORY-UTAUT-2003,2026-08-21,https://doi.org/10.2307/30036540,bibliographic_abstract_and_concept_card_indexed,official_public_page,False,False,article_abstract_and_derived_map,not_required_for_stable_knowledge,03_sources/local_knowledge/external/cards/THEORY-UTAUT-2003.md,a1a7c99e13162946a52f953555eac4be1328850b8fee91c494cea77b0b2bb3c5,,Knowledge was converted to a local structured card. Protected full text and subscription content were not copied.
THEORY-TTF-1995,2026-08-21,https://doi.org/10.2307/249689,bibliographic_abstract_and_concept_card_indexed,official_public_page,False,False,article_abstract_and_derived_map,not_required_for_stable_knowledge,03_sources/local_knowledge/external/cards/THEORY-TTF-1995.md,a23014bca13030fe2438df277e9d206f8dff187749b54a20d9b2f78d1dd95d73,,Knowledge was converted to a local structured card. Protected full text and subscription content were not copied.
METHOD-OPENINTRO,2026-08-21,https://openintro-ims.netlify.app/,open_resource_learning_map_indexed,official_public_page,False,False,cc_by_sa_source_derived_map,not_required_for_stable_knowledge,03_sources/local_knowledge/external/cards/METHOD-OPENINTRO.md,d6392e8720a4077fb04e17f9efda22865fd11014a33529d14924de8754c445dc,,Knowledge was converted to a local structured card. Protected full text and subscription content were not copied.
METHOD-R4DS,2026-08-21,https://r4ds.hadley.nz/,open_resource_learning_map_indexed,official_public_page,False,False,cc_by_nc_nd_source_derived_map,not_required_for_stable_knowledge,03_sources/local_knowledge/external/cards/METHOD-R4DS.md,aab97595e3e690a2ca7b9ef9b0293c477100b479fc0963b003545f8043fefac7,,Knowledge was converted to a local structured card. Protected full text and subscription content were not copied.
METHOD-ISLR,2026-08-21,https://www.statlearning.com/,public_toc_and_knowledge_map_indexed,official_public_page,False,False,author_public_resource_derived_map,not_required_for_stable_knowledge,03_sources/local_knowledge/external/cards/METHOD-ISLR.md,381dd5cd235e9c060a1266c0e17105177fc691371d6836102e7b356a116317d5,,Knowledge was converted to a local structured card. Protected full text and subscription content were not copied.
METHOD-MIXTAPE,2026-08-21,https://mixtape.scunning.com/,open_resource_learning_map_indexed,official_public_page,False,False,public_online_resource_derived_map,periodic_refresh_only,03_sources/local_knowledge/external/cards/METHOD-MIXTAPE.md,8684e6f8bcf244e820c9676999b40c00102b856d52c369720ddd0b7c971e3781,,Knowledge was converted to a local structured card. Protected full text and subscription content were not copied.
METHOD-LAVAAN,2026-08-21,https://lavaan.ugent.be/tutorial/,official_tutorial_knowledge_card_indexed,official_public_page,False,False,cc_by_official_tutorial_derived_map,periodic_refresh_only,03_sources/local_knowledge/external/cards/METHOD-LAVAAN.md,a1ea9c18eb94235c32f05d5b2eb9f41b6714ef2845bd5264704ccb56262b2dec,,Knowledge was converted to a local structured card. Protected full text and subscription content were not copied.
METHOD-GIOIA,2026-08-21,https://doi.org/10.1177/1094428112452151,abstract_and_method_card_indexed,official_public_page,False,False,article_abstract_and_derived_map,not_required_for_stable_knowledge,03_sources/local_knowledge/external/cards/METHOD-GIOIA.md,182df8c7e36c930c812fa04321b54b32171581e865df673175437f4b4002c8b2,,Knowledge was converted to a local structured card. Protected full text and subscription content were not copied.
METHOD-THEMATIC,2026-08-21,https://www.thematicanalysis.net/,author_resource_knowledge_card_indexed,official_public_page,False,False,author_public_resource_derived_map,periodic_refresh_only,03_sources/local_knowledge/external/cards/METHOD-THEMATIC.md,92cef0a935a02e6c13128bcb318f4dbfe76169e7f2efef9dd66a75eaa253ddf0,,Knowledge was converted to a local structured card. Protected full text and subscription content were not copied.
METHOD-PRISMA,2026-08-21,https://www.prisma-statement.org/,official_standard_knowledge_card_indexed,official_public_page,False,False,official_reporting_standard_derived_map,periodic_refresh_only,03_sources/local_knowledge/external/cards/METHOD-PRISMA.md,afbb7fd13579dedc5d96f07020f134d8a1a6017902611cb34e9c77c107306b69,,Knowledge was converted to a local structured card. Protected full text and subscription content were not copied.
METHOD-BDA,2026-08-21,https://sites.stat.columbia.edu/gelman/book/,public_toc_and_knowledge_map_indexed,official_public_page,False,False,author_noncommercial_resource_derived_map_no_redistribution,not_required_for_stable_knowledge,03_sources/local_knowledge/external/cards/METHOD-BDA.md,270380c2ac7bbed244b6fb0104411deed79e399bfa2b559624ebb4273f18fbd9,,Knowledge was converted to a local structured card. Protected full text and subscription content were not copied.
METHOD-PROBML,2026-08-21,https://probml.github.io/pml-book/,open_author_resource_learning_map_indexed,official_public_page,False,False,author_public_resource_derived_map,periodic_refresh_only,03_sources/local_knowledge/external/cards/METHOD-PROBML.md,c8f5c7ee3627b63b3e372c48067abfb4cea72b329ad941c3391467fe0390a537,,Knowledge was converted to a local structured card. Protected full text and subscription content were not copied.
METHOD-YALE-GAME,2026-08-21,https://oyc.yale.edu/economics/econ-159,open_course_learning_map_indexed,official_public_page,False,False,open_course_derived_map,not_required_for_stable_knowledge,03_sources/local_knowledge/external/cards/METHOD-YALE-GAME.md,2fd560de09d46cfa727b375d6110b9413adf15f16e79cd5f7b2beb15e05e55b1,,Knowledge was converted to a local structured card. Protected full text and subscription content were not copied.
METHOD-ONLINE-EXPERIMENTS,2026-08-21,https://www.cambridge.org/core/books/trustworthy-online-controlled-experiments/D97B26382EB0EB2DC2019A7A7B518F59,public_toc_and_knowledge_map_indexed,official_public_page,False,False,commercial_book_public_page_derived_map_no_fulltext,not_required_for_stable_knowledge,03_sources/local_knowledge/external/cards/METHOD-ONLINE-EXPERIMENTS.md,347814375b08a9f17814686e766f5b81e2b7817161fd6362f97b80a0376df417,,Knowledge was converted to a local structured card. Protected full text and subscription content were not copied.
IM-INTRO,2026-08-21,https://alastore.ala.org/introIS2,public_toc_and_knowledge_map_indexed,official_public_page,False,False,commercial_book_public_page_derived_map_no_fulltext,not_required_for_stable_knowledge,03_sources/local_knowledge/external/cards/IM-INTRO.md,fb4e2c8cdf10e3c1e436f9004fe08ee27de115c0d91a6d54a5e13b7689384a95,,Knowledge was converted to a local structured card. Protected full text and subscription content were not copied.
IM-LOOKING,2026-08-21,https://www.emerald.com/books/monograph/15349/Looking-for-InformationExamining-Research-on-How,public_toc_and_knowledge_map_indexed,official_public_page,False,False,commercial_book_public_page_derived_map_no_fulltext,not_required_for_stable_knowledge,03_sources/local_knowledge/external/cards/IM-LOOKING.md,014e1359b91e7e701435ac649c06280d83eb90bc782b7a49c86e372dc5b76cca,,Knowledge was converted to a local structured card. Protected full text and subscription content were not copied.
IM-IR-BOOK,2026-08-21,https://nlp.stanford.edu/IR-book/,open_resource_learning_map_indexed,official_public_page,False,False,author_online_book_derived_map,not_required_for_stable_knowledge,03_sources/local_knowledge/external/cards/IM-IR-BOOK.md,c7fa6d159f601f8928f1a3258cf146d7e2acadb8d16abf7d8c23f41677dfe073,,Knowledge was converted to a local structured card. Protected full text and subscription content were not copied.
IM-KM-DALKIR,2026-08-21,https://mitpress.mit.edu/9780262048125/knowledge-management-in-theory-and-practice/,public_description_and_knowledge_map_indexed,official_public_page,False,False,commercial_book_public_page_derived_map_no_fulltext,not_required_for_stable_knowledge,03_sources/local_knowledge/external/cards/IM-KM-DALKIR.md,46affce624dfa0f158abd00728be820d100cea5aa65cc5c31e3a0fcdb9c8c7d3,,Knowledge was converted to a local structured card. Protected full text and subscription content were not copied.
IM-DMBOK,2026-08-21,https://dama.org/learning-resources/dama-data-management-body-of-knowledge-dmbok/,official_framework_knowledge_card_indexed,official_public_page,False,False,official_public_overview_derived_map_no_book_fulltext,periodic_refresh_only,03_sources/local_knowledge/external/cards/IM-DMBOK.md,4d1aca82e77b3f6037a696afdbb60cb954af8aead986476ac587f8b2c580ee64,,Knowledge was converted to a local structured card. Protected full text and subscription content were not copied.
IM-SLP3,2026-08-21,https://web.stanford.edu/~jurafsky/slp3/,open_author_resource_learning_map_indexed,official_public_page,False,False,author_public_draft_derived_map,periodic_refresh_only,03_sources/local_knowledge/external/cards/IM-SLP3.md,7c25602a87c8ee8279f63ef1e4ccff2874f9eb22fc1f7b9afcc9586241779239,,Knowledge was converted to a local structured card. Protected full text and subscription content were not copied.
IM-NETWORK,2026-08-21,https://networksciencebook.com/,open_resource_learning_map_indexed,official_public_page,False,False,public_online_resource_derived_map,not_required_for_stable_knowledge,03_sources/local_knowledge/external/cards/IM-NETWORK.md,1fbc139161a95e75084e1c23d7c3322b0719957ba064fc08186f279c5658a2b7,,Knowledge was converted to a local structured card. Protected full text and subscription content were not copied.
IM-BIBLIOMETRIX,2026-08-21,https://www.bibliometrix.org/home/,official_project_knowledge_card_indexed,official_public_page,False,False,official_public_project_derived_map,periodic_refresh_only,03_sources/local_knowledge/external/cards/IM-BIBLIOMETRIX.md,80da1f585d023d640b40b44bead8cf5e5a3277e0240d61fbbae73575b9425dba,,Knowledge was converted to a local structured card. Protected full text and subscription content were not copied.
